Municipio,Latitud,Longitud,casos
albania,5.758333333,-73.91333333,3
barrancabermeja,6.859555556,-73.76508333,257
barrancabermeja,7.026388889,-73.80861111,508
bucaramanga,7.144722222,-73.12222222,2
capitanejo,6.520722222,-72.69661111,24
cerrito,6.845277778,-72.67777778,8
chima,6.355,-73.36833333,6
cimitarra,6.308611111,-73.95222222,219
guadalupe,6.237166667,-73.41538889,7
lebrija,7.121472222,-73.18452778,31
mogotes,6.47,-72.96888889,19
palmar,6.549722222,-73.292,1
puerto parra,6.649444444,-74.06138889,22
puerto wilches,7.246111111,-73.79,3
sabana de torres,7.456111111,-73.53722222,186
socorro,6.471805556,-73.24858333,3
tona,7.186944444,-72.86861111,12
zapatoca,6.792777778,-73.28275,7
